Customer ID,Title,First Name,Middle Name,Last Name,Suffix,Street Address1,Street Address2,City-ZipCode-State,Birth Date,Education Level,Occupation,Gender,Marital Status,Home Owner Status,Number of Cars Owned,Number of Children At Home,Total Number of Children,Annual Income,Avg Monthly Spend,eBook Subscriber Flag,Anomaly_Label,Anomaly_Score
11000,,Jon,V,Yang,,3761 N. 14th St,,Cleveland-44101-Ohio,4/8/66,Bachelors,Professional,M,M,1,0,0,2,137947,89,0,1,1174.2687086012297
11007,,Marco,,Mehta,,942 Brook Street,,Anaheim-92801-California,5/9/64,Bachelors,Professional,M,M,1,2,3,3,109759,130,1,1,801.3469910095126
11013,,Ian,M,Jenkins,,7902 Hudson Ave.,,Atlanta-30301-Georgia,8/6/68,Bachelors,Management,M,M,1,3,0,2,115859,84,0,1,771.4447485076297
11014,,Sydney,,Bennett,,9011 Tank Drive,,Oakland-94601-California,5/9/68,Bachelors,Management,F,S,0,3,0,3,105157,49,0,1,795.1798538695507
11015,,Chloe,,Young,,244 Willow Pass Road,,Toledo-43601-Ohio,2/27/79,Partial College,Skilled Manual,F,S,0,1,0,0,40011,39,0,1,1228.5418185800595
11025,,Alejandro,,Beck,,2596 Franklin Canyon Road,,Louisville-40201-Kentucky,12/23/45,Partial High School,Clerical,M,M,1,2,1,2,24334,70,0,1,829.7288713790789
11026,,Harold,,Sai,,8211 Leeds Ct.,,Washington-20001-DC,4/3/46,Partial College,Clerical,M,S,0,2,0,2,61905,63,0,1,801.5528678758501
11033,,Jaime,,Nath,,5927 Rainbow Dr,,Los Angeles-90001-California,9/23/47,High School,Skilled Manual,M,M,1,2,0,4,35822,58,0,1,948.0369191123308
11035,,Wendy,,Dominguez,,1873 Mt. Whitney Dr,,Anchorage-99501-Alaska,2/24/48,Partial High School,Clerical,F,M,1,2,1,2,11721,50,0,1,895.6980518009403
11042,,Megan,J,Sanchez,,1397 Paraiso Ct.,,Albuquerque-87101-New Mexico,6/13/77,Partial College,Skilled Manual,F,M,1,2,0,0,70623,55,0,1,795.4351010610483
11047,,Jaclyn,D,Lu,,2812 Mazatlan,,Honolulu-96801-Hawaii,2/27/50,High School,Skilled Manual,F,M,0,2,0,3,42738,43,0,1,832.2253300639196
11057,,Carl,J,Andersen,,6930 Lake Nadine Place,,Los Angeles-90001-California,10/12/53,Graduate Degree,Management,M,M,1,2,0,2,119540,82,0,1,813.2152236646828
